12:04:51.660249|   DEBUG|            Ptr:137 |byte is \037 (0x1f)
12:04:51.660379|   DEBUG|            Ptr:137 |byte is \311 (0xc9)
12:04:51.660509|   DEBUG|            Ptr:137 |byte is \200 (0x80)
12:04:51.660639|   DEBUG|            Ptr:137 |byte is \011 (0x09)
12:04:51.660769|   DEBUG|            Ptr:137 |byte is \077 (0x3f)
12:04:51.660898|   DEBUG|            Ptr:137 |byte is \360 (0xf0)
12:04:51.661027|   DEBUG|            Ptr:137 |byte is \006 (0x06)
12:04:51.661157|   DEBUG|            Ptr:137 |byte is \003 (0x03)
12:04:51.661286|   DEBUG|            Ptr:137 |byte is \006 (0x06)
12:04:51.661416|   DEBUG|            Ptr:137 |byte is \003 (0x03)
12:04:51.661547|   DEBUG|            Ptr:137 |byte is \006 (0x06)
12:04:51.661677|   DEBUG|            Ptr:137 |byte is \002 (0x02)
12:04:51.661807|   DEBUG|            Ptr:137 |byte is \077 (0x3f)
12:04:51.661937|   DEBUG|            Ptr:137 |byte is \360 (0xf0)
12:04:51.662067|   DEBUG|            Ptr:137 |byte is \227 (0x97)
12:04:51.662197|   DEBUG|            Ptr:137 |byte is \350 (0xe8)
12:04:51.662328|   DEBUG|            Ptr:137 |byte is \037 (0x1f)
12:04:51.662458|   DEBUG|            Ptr:137 |byte is \357 (0xef)
12:04:51.662588|   DEBUG|            Ptr:137 |byte is \002 (0x02)
12:04:51.662830|   DEBUG|            Ptr:137 |byte is \032 (0x1a)
12:04:51.662963|   DEBUG|            Ptr:137 |byte is \205 (0x85)
12:04:51.663094|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.663223|   DEBUG|            Ptr:137 |byte is \027 (0x17)
12:04:51.663354|   DEBUG|            Ptr:137 |byte is \362 (0xf2)
12:04:51.663484|   DEBUG|            Ptr:137 |byte is \005 (0x05)
12:04:51.663614|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.663745|   DEBUG|            Ptr:137 |byte is \027 (0x17)
12:04:51.663875|   DEBUG|            Ptr:137 |byte is \364 (0xf4)
12:04:51.664006|   DEBUG|            Ptr:137 |byte is \002 (0x02)
12:04:51.664136|   DEBUG|            Ptr:137 |byte is \051 (0x29)
12:04:51.664266|   DEBUG|            Ptr:137 |byte is \227 (0x97)
12:04:51.664397|   DEBUG|            Ptr:137 |byte is \360 (0xf0)
12:04:51.664527|   DEBUG|            Ptr:137 |byte is \004 (0x04)
12:04:51.664656|   DEBUG|            Ptr:137 |byte is \040 (0x20)
12:04:51.664786|   DEBUG|            Ptr:137 |byte is \027 (0x17)
12:04:51.664916|   DEBUG|            Ptr:137 |byte is \370 (0xf8)
12:04:51.665046|   DEBUG|            Ptr:137 |byte is \002 (0x02)
12:04:51.665176|   DEBUG|            Ptr:137 |byte is \033 (0x1b)
12:04:51.665310|   DEBUG|            Ptr:137 |byte is \227 (0x97)
12:04:51.665441|   DEBUG|            Ptr:137 |byte is \360 (0xf0)
12:04:51.665571|   DEBUG|            Ptr:137 |byte is \027 (0x17)
12:04:51.665702|   DEBUG|            Ptr:137 |byte is \370 (0xf8)
12:04:51.665832|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.665962|   DEBUG|            Ptr:137 |byte is \044 (0x24)
12:04:51.666226|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.666362|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.666493|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.666624|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.666755|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.666885|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.667015|   DEBUG|            Ptr:137 |byte is \132 (0x5a)
12:04:51.667145|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.667276|   DEBUG|            Ptr:137 |byte is \100 (0x40)
12:04:51.667406|   DEBUG|            Ptr:137 |byte is \010 (0x08)
12:04:51.667536|   DEBUG|            Ptr:137 |byte is \001 (0x01)
12:04:51.667665|   DEBUG|            Ptr:137 |byte is \170 (0x78)
12:04:51.667794|   DEBUG|            Ptr:137 |byte is \221 (0x91)
12:04:51.667924|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.668054|   DEBUG|            Ptr:137 |byte is \001 (0x01)
