11:18:42.597419|   DEBUG|            Ptr:117 |byte is \037 (0x1f)
11:18:42.597627|   DEBUG|            Ptr:117 |byte is \311 (0xc9)
11:18:42.597835|   DEBUG|            Ptr:117 |byte is \200 (0x80)
11:18:42.598044|   DEBUG|            Ptr:117 |byte is \011 (0x09)
11:18:42.598251|   DEBUG|            Ptr:117 |byte is \077 (0x3f)
11:18:42.598460|   DEBUG|            Ptr:117 |byte is \360 (0xf0)
11:18:42.598668|   DEBUG|            Ptr:117 |byte is \006 (0x06)
11:18:42.598876|   DEBUG|            Ptr:117 |byte is \003 (0x03)
11:18:42.599084|   DEBUG|            Ptr:117 |byte is \006 (0x06)
11:18:42.599292|   DEBUG|            Ptr:117 |byte is \003 (0x03)
11:18:42.599500|   DEBUG|            Ptr:117 |byte is \006 (0x06)
11:18:42.599709|   DEBUG|            Ptr:117 |byte is \002 (0x02)
11:18:42.600033|   DEBUG|            Ptr:117 |byte is \077 (0x3f)
11:18:42.600244|   DEBUG|            Ptr:117 |byte is \360 (0xf0)
11:18:42.600452|   DEBUG|            Ptr:117 |byte is \227 (0x97)
11:18:42.600661|   DEBUG|            Ptr:117 |byte is \350 (0xe8)
11:18:42.600869|   DEBUG|            Ptr:117 |byte is \037 (0x1f)
11:18:42.601077|   DEBUG|            Ptr:117 |byte is \357 (0xef)
11:18:42.601285|   DEBUG|            Ptr:117 |byte is \002 (0x02)
11:18:42.601493|   DEBUG|            Ptr:117 |byte is \032 (0x1a)
11:18:42.601701|   DEBUG|            Ptr:117 |byte is \205 (0x85)
11:18:42.601909|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.602229|   DEBUG|            Ptr:117 |byte is \027 (0x17)
11:18:42.602457|   DEBUG|            Ptr:117 |byte is \362 (0xf2)
11:18:42.602666|   DEBUG|            Ptr:117 |byte is \005 (0x05)
11:18:42.602875|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.603083|   DEBUG|            Ptr:117 |byte is \027 (0x17)
11:18:42.603417|   DEBUG|            Ptr:117 |byte is \364 (0xf4)
11:18:42.603632|   DEBUG|            Ptr:117 |byte is \002 (0x02)
11:18:42.603842|   DEBUG|            Ptr:117 |byte is \051 (0x29)
11:18:42.604050|   DEBUG|            Ptr:117 |byte is \227 (0x97)
11:18:42.604259|   DEBUG|            Ptr:117 |byte is \360 (0xf0)
11:18:42.604466|   DEBUG|            Ptr:117 |byte is \004 (0x04)
11:18:42.604675|   DEBUG|            Ptr:117 |byte is \040 (0x20)
11:18:42.604883|   DEBUG|            Ptr:117 |byte is \027 (0x17)
11:18:42.605093|   DEBUG|            Ptr:117 |byte is \370 (0xf8)
11:18:42.605301|   DEBUG|            Ptr:117 |byte is \002 (0x02)
11:18:42.605510|   DEBUG|            Ptr:117 |byte is \033 (0x1b)
11:18:42.605722|   DEBUG|            Ptr:117 |byte is \227 (0x97)
11:18:42.605932|   DEBUG|            Ptr:117 |byte is \360 (0xf0)
11:18:42.606140|   DEBUG|            Ptr:117 |byte is \027 (0x17)
11:18:42.606349|   DEBUG|            Ptr:117 |byte is \370 (0xf8)
11:18:42.606668|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.606880|   DEBUG|            Ptr:117 |byte is \044 (0x24)
11:18:42.607089|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.607297|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.607505|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.607714|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.607922|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.608131|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.608339|   DEBUG|            Ptr:117 |byte is \132 (0x5a)
11:18:42.608570|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.608799|   DEBUG|            Ptr:117 |byte is \100 (0x40)
11:18:42.609009|   DEBUG|            Ptr:117 |byte is \010 (0x08)
11:18:42.609216|   DEBUG|            Ptr:117 |byte is \001 (0x01)
11:18:42.609425|   DEBUG|            Ptr:117 |byte is \170 (0x78)
11:18:42.609632|   DEBUG|            Ptr:117 |byte is \221 (0x91)
11:18:42.609841|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.610165|   DEBUG|            Ptr:117 |byte is \001 (0x01)
11:18:42.610375|   DEBUG|            Ptr:117 |byte is \010 (0x08)
11:18:42.610584|   DEBUG|            Ptr:117 |byte is \002 (0x02)
11:18:42.610792|   DEBUG|            Ptr:117 |byte is \170 (0x78)
11:18:42.611000|   DEBUG|            Ptr:117 |byte is \222 (0x92)
11:18:42.611209|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.611417|   DEBUG|            Ptr:117 |byte is \002 (0x02)
11:18:42.611625|   DEBUG|            Ptr:117 |byte is \210 (0x88)
11:18:42.611833|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.612042|   DEBUG|            Ptr:117 |byte is \170 (0x78)
11:18:42.612250|   DEBUG|            Ptr:117 |byte is \220 (0x90)
11:18:42.612459|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.612667|   DEBUG|            Ptr:117 |byte is \003 (0x03)
11:18:42.612876|   DEBUG|            Ptr:117 |byte is \210 (0x88)
11:18:42.613084|   DEBUG|            Ptr:117 |byte is \001 (0x01)
11:18:42.613410|   DEBUG|            Ptr:117 |byte is \170 (0x78)
11:18:42.613622|   DEBUG|            Ptr:117 |byte is \223 (0x93)
11:18:42.613832|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.614040|   DEBUG|            Ptr:117 |byte is \004 (0x04)
11:18:42.614249|   DEBUG|            Ptr:117 |byte is \020 (0x10)
